v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_products_price_uom,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
"0005-00000015-001","1","air_als/RediTube55et.jpg","Endotracheal Tube w/ Stylet, 05.5 mm Un-Cuffed","<i>Sold by the each, 20 each/box </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000016-003","1","air_als/curaplex60et.jpg","Endotracheal Tube w/ Stylet, 06 mm Cuffed","<i>Sold by the each. 10 each per box.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000017-003","1","air_als/curaplex65et.jpg","Endotracheal Tube w/ Stylet, 06.5 mm Cuffed","<i>Sold by the each. 10 each per box.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000018-003","1","air_als/curaplex70et.jpg","Endotracheal Tube w/ Stylet, 07 mm Cuffed","<i>Sold by the each. 10 each per box.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000019-003","1","air_als/curaplex75et.jpg","Endotracheal Tube w/ Stylet, 07.5 mm Cuffed","<i>Sold by the each. 10 each per box.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000020-003","1","air_als/Curaplex 80.jpg","Endotracheal Tube w/ Stylet, 08 mm Cuffed","<i>Sold by the each. 10 each per box.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000021-003","1","air_als/RediTube85et.jpg","Endotracheal Tube w/ Stylet, 08.5 mm Cuffed","<i>Sold by the each. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000022-001","1","/air_als/90et.jpg","Endotracheal Tube w/ Stylet, 09 mm Cuffed","<i>Sold by the each, limit 14. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000023-001","1","/air_als/95et.jpg","Endotracheal Tube w/ Stylet, 09.5 mm Cuffed","<i>Sold by the each, limit 14. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000024-001","1","/air_als/10et.jpg","Endotracheal Tube w/ Stylet, 10 mm Cuffed","<i>Sold by the each, limit 14. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000025-001","1","/air_als/60trigger.jpg","Endotracheal Tube, Endotrol 6 mm Trigger","<i>Sold by the each. </i>","","","","","11.29","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000026-001","1","/air_als/70trigger.jpg","Endotracheal Tube, Endotrol 7 mm Trigger","<i>Sold by the each. </i>","","","","","11.29","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000027-001","1","/air_als/positube.jpg","Esophageal Detector Device","<i>Sold by the each. </i>","","","","","4.07","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","79","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000029-001","1","no_picture.gif","Stylet, Intubation (Pediatric) 10 Fr"," ","","","","","2.56","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000031-001","1","air_als/CO2indicator.jpg","CO2 Detector for BVM","<i>Sold by the each. </i> This is a special order item.","","","","","10.75","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","10","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000030-001","1","no_picture.gif","CPAP Filter","<i>Item is no longer stocked.</i>","","","","","1.8","EA","0","0","0","0","0","0","0","","2013-03-26 09:34:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0020-00000038-001","1","no_picture.gif","Twill tape","<i>Sold by the each, limit one.  <b>This item is non-stock and may have to be ordered on request</b></i>","","","","","20.35","EA","0","0","0","0","0","0","0","","2013-03-26 09:34:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000008-002","1","air_als/Thomas Adt Tube Holder.jpg","Thomas Endotracheal Tube Holder, Adult OLIVE","Sold by the each, 25 each/box.  Fits I-Gel Sizes 2.0, 2.5, and 3.0.","","","","","4.07","EA","0","0","0","1","1","0","0","","2014-11-21 11:41:00","50","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000032-001","1","air_als/Thomas Peds Tube Holder.jpg","Thomas Endotracheal Tube Holder, Pediatric PINK STRAP","Sold by the each, 25 each/box.  Fits i-gel Sizes 1.0 and 1.5.","","","","","4.07","EA","0","0","0","1","1","0","0","","2014-11-21 11:42:00","50","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000033-001","1","no_picture.gif","Scalpel Safety #11 Disp Sterile","Sold by the each.","","","","","2","EA","0","0","0","1","1","0","0","","2015-03-06 08:19:00","11","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000003-002","1","air_als/CPAP LG kit fixed.jpg","CPAP, Large O2-Max fixed system Bitrec ED","Continuous Positive Airway Pressure therapy kit, size Large.   <i>Limit one per run number.</i>  <b>IEMS Restricted List</b>","","","","","55.83","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000004-002","1","air_als/CPAP MD kit fixed.jpg","CPAP, Medium O2-Max fixed system Bitrec ED","Continuous Positive Airway Pressure kit, size Medium.","","","","","55.83","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000034-001","1","air_als/SM CPAP Mask.jpg","CPAP Mask Only, SM Full Face Mask and Head Strap ONLY","<b>Small CPAP mask only, sold by the each.</b>  <i>10 each/case.</i>","","","","","22.34","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","41","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000035-001","1","air_als/LG CPAP Mask.jpg","CPAP Mask Only, LG Full Face Mask and Head Strap ONLY","<b>Large CPAP mask only, sold by the each.</b>     <i> 10 each/case.</i>","","","","","22.34","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","41","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000036-001","1","no_picture.gif","Scalpel Safety #10 Disp Sterile","","","","","","2","EA","0","0","0","1","1","0","0","","2015-06-09 12:31:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000004-003","1","air_als/GoCPAPmd.jpg","CPAP, Medium O2-Max fixed system Bitrec ED","Continuous Positive Airway Pressure kit, size Medium.    <b>The new Pulmodyne GO-PAP comes with an included nebulizer-  a MedSource (Part MS-303) branded nebulizer  (Picture attached BadNebulizer.jpg).    This MedSource nebulizer does not work very well, or at all. The cup will not reliably stay connected to the Nebulizer Port in the GO-PAP. Effective immediately Please do not attempt to use the MedSource branded nebulizer included in the packaging with the CPAP.    The Individually packaged curaplex branded Small Volume Nebulizer (REF 301-201) issued by IEMS will work and stay in place in the GO-PAP nebulizer port as expected.     Until Further Notice: Please use the curaplex nebulizers instead of the neb provided with the CPAP.     The DISS adaptor for O2 connection and tubing works as intended and can be used to supply oxygen for the curaplex branded Small Volume Nebulizer    We have contacted the manufacturer and they are taking steps to correct this situation.    Please contact me directly with any questions    Kevin Gona</B>","","","","","55.83","EA","0","0","0","1","1","0","0","","2018-09-05 15:21:14","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000004-004","1","air_als/GoCPAPmd.jpg","CPAP, Medium Mask, GO-PAP Adjustable","<b>GO-PAP plus Neb-Connect.</b> Sold by the each.","","","","","55.83","EA","0","0","0","1","1","0","0","","2019-01-11 08:59:46","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000009-004","1","","Endotracheal Tube w/ Stylet, 02.5 mm Un-Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:11:07","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000010-004","1","","Endotracheal Tube w/ Stylet, 03 mm Un-Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:12:18","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000011-004","1","","Endotracheal Tube w/ Stylet, 03.5 mm Un-Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:13:22","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000012-004","1","","Endotracheal Tube w/ Stylet, 04 mm Un-Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:14:21","1","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000013-004","1","","Endotracheal Tube w/ Stylet, 04.5 mm Un-Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:15:18","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000014-004","1","","Endotracheal Tube w/ Stylet, 05 mm Un-Cuffed","Sold by the each.   10 each/box. Expires October 2020.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:17:13","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000016-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 06 mm Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:19:46","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000017-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 06.5 mm Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:20:57","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000018-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 07 mm Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:22:10","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000019-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 07.5 mm Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:24:16","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000020-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 08 mm Cuffed","Sold by the each.   10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:25:24","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000021-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 08.5 mm Cuffed","Sold by the each. 10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 11:39:38","0","","Airway / ALS","--none--","0","0","0","0","0","0","","",""
"0005-00000037-001","1","","Bougie-to-go, Adult, 15fr x 60cm","Sold by the each.","","","","","8","EA","0","0","0","1","1","0","0","","2019-12-04 10:18:52","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000038-001","1","","Bougie-to-go, Pediatric , 10fr x 70cm","Sold by the each.","","","","","8","EA","0","0","0","1","1","0","0","","2019-12-04 10:20:23","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000039-001","1","air_als/Thomas Select.jpg","Thomas Endotracheal Tube Holder, Large BLUE","Sold by the each, 25 per box.  Fits i-gel Sizes 4.0 and 5.0.","","","","","4.07","EA","0","0","0","1","1","0","0","","2020-01-14 08:50:05","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000040-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 02.5 mm Cuffed","Sold by the each, 10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:33:05","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000041-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 03 mm Cuffed","Sold by the each, 10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:34:46","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000042-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 03.5 mm Cuffed","Sold by the each, 10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:36:13","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000043-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 04 mm Cuffed","Sold by the each, 10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:37:21","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000044-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 04.5 mm Cuffed","Sold by the each, 10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:40:16","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000045-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 05 mm Cuffed","Sold by the each, 10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:42:18","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0005-00000046-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 05.5 mm Cuffed","Sold by the each, 10 each per box.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:44:05","1","","Airway / ALS","--none--","1","0","0","0","0","0","","",""
"0010-00000001-001","1","/air_scope/mac2.jpg","Blade, Laryngoscope Macintosh 2","Macintosh 2 Laryngoscope blade. <i>Sold by the each, 20 each per box. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","125","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0010-00000002-001","1","/air_scope/mac3.jpg","Blade, Laryngoscope Macintosh 3","Macintosh 3 Laryngoscope blade. <i>Sold by the each, 20 each per box. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","107","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0010-00000003-001","1","/air_scope/mac4.jpg","Blade, Laryngoscope Macintosh 4","Macintosh 4 Laryngoscope blade. <i>Sold by the each, 20 each per box. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0010-00000004-001","1","/air_scope/mil0.jpg","Blade, Laryngoscope Miller 0","Miller 0 Laryngoscope blade. <i>Sold by the each, 20 each per box. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","37","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0010-00000005-001","1","/air_scope/mil1.jpg","Blade, Laryngoscope Miller 1","Miller 1 Laryngoscope blade. <i>Sold by the each, 20 each per box. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","33","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0010-00000006-001","1","/air_scope/mil2.jpg","Blade, Laryngoscope Miller 2","Miller 2 Laryngoscope blade. <i>Sold by the each, 20 each per box. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","23","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0010-00000007-001","1","/air_scope/mil3.jpg","Blade, Laryngoscope Miller 3","Miller 3 Laryngoscope blade.  <i>Sold by the each, 20 each per box. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","106","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0010-00000008-001","1","/air_scope/mil4.jpg","Blade, Laryngoscope Miller 4","Miller 4 Laryngoscope blade. <i>Sold by the each, 20 each per box. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","52","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0010-00000009-001","1","no_picture.gif","Handle, Laryngoscope Short Green-line LED"," ","","","","","187","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Laryngoscopy","--none--","0","0","0","0","0","0","","",""
"0010-00000010-001","1","air_scope/scope.jpg","Handle, Laryngoscope Standard Green-line LED","Green-line LED Laryngoscope handle.","","","","","238.9","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Laryngoscopy","--none--","0","0","0","0","0","0","","",""
"0010-00000010-002","1","air_scope/WelchScope.jpg","Handle, Laryngoscope Standard Green-line","Green-line Laryngoscope handle.","","","","","238.9","EA","0","0","0","1","1","0","0","","2016-07-25 11:48:06","1","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","",""
"0015-00000001-001","1","/air_suction/bulbsyringe.jpg","Bulb Syringe","Bulb syringe. <i>Sold by the each</i>","","","","","0.69","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","201","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000002-001","1","/air_suction/suctioncan.jpg","Canister, Hard Plastic, Suction, 1200 cc with lid","1200 cc hard plastic Suction canisters with lid.  <i>Sold by the each, 40 each per case.</i>","","","","","1.49","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000003-001","1","no_picture.gif","LCSU 110 v AC Charger","<i>Statement form required. </i>","","","","","0","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000004-001","1","no_picture.gif","LCSU 12 v DC Charger","<i>Statement form required. </i>","","","","","43.18","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000005-001","1","air_suction/LCSUfilter.jpg","LCSU Bacteria Filters","<i>Sold by the each.</i>","","","","","17.5","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000006-001","1","no_picture.gif","LCSU Instructions","<i>Sold by the each, limit 14. </i>","","","","","0","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000007-001","1","no_picture.gif","LCSU Spare Battery Doors","<i>Sold by the each, limit 14. </i>","","","","","9.63","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000008-001","1","no_picture.gif","LCSU Spare Tubing Connectors, 150cm","<i>Sold by the each. </i>","","","","","44.07","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000009-001","1","/air_suction/meconaspir.jpg","Meconium Aspirator","<i>Sold by the each. </i>","","","","","7.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000010-001","1","/air_suction/laerdal12vdc.jpg","Power Cable 12 VDC for LCSU 3 Portable Suction","12 Volt DC power cable for LCSU 3 Portable suction machine.  This is the Bell replacement part, not the OEM part. <i>Incident Number or statement required. </i>","","","","","43.18","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000011-001","1","no_picture.gif","Regulator, Vacuum; Omeada Mount","<i>Statement form required. </i>","","","","","0","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000012-001","1","/air_suction/yank.jpg","Suction Rigid Tip Yankauer","Rigid tip suction catheter, also known as a Yankauer tip catheter.  <i>Sold by the each, 50 each per case.</i>","","","","","1.01","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","176","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000013-001","1","/air_suction/14fr.jpg","Suction Soft Pharyngeal Tip (Adult) 14 Fr","14 french/Adult suction tip.  Also called a whistle tip suction catheter.  <i>Sold by the each.</i>","","","","","0.55","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","50","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000014-001","1","/air_suction/18fr.jpg","Suction Soft Pharyngeal Tip (Adult) 18 Fr","18 French whistle tip suction catheter. <i>Sold by the each.</i>","","","","","0.55","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","50","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000015-001","1","/air_suction/10fr.jpg","Suction Soft Pharyngeal Tip (Pediatric) 10 Fr","10 French pediatric suction catheter.  <i>Sold by the each.</i>","","","","","0.55","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","91","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000016-001","1","/air_suction/8fr.jpg","Suction Soft Pharyngeal Tip (Pediatric) 8 Fr","8 French pediatric whistle tip catheter. <i>Sold by the each. </i>","","","","","0.64","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","104","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000017-001","1","/air_suction/tubing.jpg","Tubing, Suction Connection","Suction connection tubing for canister to suction catheter connections. <i>Sold by the each, 50 each per case.</i>","","","","","1.21","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","246","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
"0015-00000019-001","1","/air_suction/emesisbag.jpg","Bag Vomit Emesis with Graduation","Emesis bag with graduation marks.  Sold in packs of 25, ordering quantity is by the pack.   <i>Sold by the pack, limit 1. </i>","","","","","16.23","PAC","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000018-001","1","/air_suction/16fr.jpg","Suction Tip 16 fr","16 French whistle tip suction catheter. <i> Sold by the each, limit 28. </i>","","","","","0.55","EA","0","0","0","1","1","0","0","","2012-07-30 14:02:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000021-001","1","/air_suction/lcsu3.jpg","Laerdal Compact Suction Unit 4","Laerdal Compact Suction Unit 4, special order item.","","","","","665.5","EA","0","0","0","1","1","0","0","","2012-08-06 10:52:00","0","","Airway / Suction","--none--","0","0","0","0","0","0","","",""
"0015-00000020-001","1","air_suction/IFDcanister.jpg","Canister, Hard Plastic; Suction 300 cc","300 cc hard plastic Suction canisters with lid.  <i>Sold by the each.</i>","","","","","19.55","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / Suction","--none--","1","0","0","0","0","0","","",""
