v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_products_price_uom,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1,v_html_uri
"0005-00000012-003","1","air_als/curaplex40et.jpg","Endotracheal Tube w/ Stylet, 04 mm Un-Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=11"
"0005-00000013-003","1","air_als/curaplex45et.jpg","Endotracheal Tube w/ Stylet, 04.5 mm Un-Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=12"
"0005-00000014-003","1","air_als/curaplex50et.jpg","Endotracheal Tube w/ Stylet, 05 mm Un-Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=13"
"0005-00000015-001","1","air_als/RediTube55et.jpg","Endotracheal Tube w/ Stylet, 05.5 mm Un-Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=14"
"0005-00000016-003","1","air_als/curaplex60et.jpg","Endotracheal Tube w/ Stylet, 06 mm Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=15"
"0005-00000017-003","1","air_als/curaplex65et.jpg","Endotracheal Tube w/ Stylet, 06.5 mm Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=16"
"0005-00000018-003","1","air_als/curaplex70et.jpg","Endotracheal Tube w/ Stylet, 07 mm Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=17"
"0005-00000019-003","1","air_als/curaplex75et.jpg","Endotracheal Tube w/ Stylet, 07.5 mm Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=18"
"0005-00000020-003","1","air_als/curaplex80et.jpg","Endotracheal Tube w/ Stylet, 08 mm Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=19"
"0005-00000021-003","1","air_als/RediTube85et.jpg","Endotracheal Tube w/ Stylet, 08.5 mm Cuffed","<i>Sold by the each, limit 5.</i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=20"
"0005-00000022-001","1","/air_als/90et.jpg","Endotracheal Tube w/ Stylet, 09 mm Cuffed","<i>Sold by the each, limit 14. </i>","","","","","2.26","","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=21"
"0005-00000023-001","1","/air_als/95et.jpg","Endotracheal Tube w/ Stylet, 09.5 mm Cuffed","<i>Sold by the each, limit 14. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=22"
"0005-00000024-001","1","/air_als/10et.jpg","Endotracheal Tube w/ Stylet, 10 mm Cuffed","<i>Sold by the each, limit 14. </i>","","","","","2.26","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=23"
"0005-00000025-001","1","/air_als/60trigger.jpg","Endotracheal Tube, Endotrol 6 mm Trigger","<i>Sold by the each, limit 3. </i>","","","","","11.29","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=24"
"0005-00000026-001","1","/air_als/70trigger.jpg","Endotracheal Tube, Endotrol 7 mm Trigger","<i>Sold by the each, limit 3. </i>","","","","","11.29","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=25"
"0005-00000027-001","1","/air_als/positube.jpg","Esophageal Detector Device","<i>Sold by the each, limit 6. </i>","","","","","4.07","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","54","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=26"
"0005-00000028-001","1","no_picture.gif","Stylet, Intubation (Adult) 14 Fr","","","","","","2.61","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=27"
"0005-00000029-001","1","no_picture.gif","Stylet, Intubation (Pediatric) 10 Fr"," ","","","","","2.56","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=28"
"0005-00000031-001","1","air_als/CO2indicator.jpg","CO2 Detector, Adult for BVM","<i>Sold by the each, limit 3. </i>","","","","","10.75","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=29"
"0005-00000005-001","1","/air_als/cpapmd.jpg","CPAP, Medium Mask Single Use Kit","<b>IEMS Restricted List</b>","","","","","55.5","EA","0","0","0","1","1","0","0","","2012-07-30 14:02:00","0","","Airway / ALS","--none--","0","1","1","1","1","1","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=30"
"0005-00000030-001","1","no_picture.gif","CPAP Filter","<i>Item is no longer stocked.</i>","","","","","1.8","EA","0","0","0","0","0","0","0","","2013-03-26 09:34:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=31"
"0020-00000038-001","1","no_picture.gif","Twill tape","<i>Sold by the each, limit one.  <b>This item is non-stock and may have to be ordered on request</b></i>","","","","","20.35","EA","0","0","0","0","0","0","0","","2013-03-26 09:34:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=32"
"0005-00000008-002","1","air_als/Thomas Adt Tube Holder.jpg","Thomas Endotracheal Tube Holder, Adult OLIVE","Sold by the each. Limit 6.    Fits i-gel Sizes 2.0, 2.5, and 3.0.","","","","","4.07","EA","0","0","0","1","1","0","0","","2014-11-21 11:41:00","78","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=442"
"0005-00000032-001","1","air_als/Thomas Peds Tube Holder.jpg","Thomas Endotracheal Tube Holder, Pediatric","Sold by the each.  Limit 6.  Fits i-gel Sizes 1.0 and 1.5.","","","","","4.07","EA","0","0","0","1","1","0","0","","2014-11-21 11:42:00","19","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=443"
"0005-00000003-002","1","air_als/CPAP LG kit fixed.jpg","CPAP, Large O2-Max fixed system Bitrec ED","Continuous Positive Airway Pressure therapy kit, size Large.   <i>Limit one per run number.</i>  <b>IEMS Restricted List</b>","","","","","55.83","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=449"
"0005-00000004-002","1","air_als/CPAP MD kit fixed.jpg","CPAP, Medium O2-Max fixed system Bitrec ED","Continuous Positive Airway Pressure kit, size Medium.     <i>Limit one per run number.</i>    <b>Limited to the Squads</b>","","","","","55.83","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=450"
"0005-00000034-001","1","air_als/SM CPAP Mask.jpg","CPAP Mask Only, SM Full Face Mask and Head Strap ONLY","<b>Small CPAP mask only, sold by the each.</b>     <i>Limit one per run number.</i>","","","","","22.34","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","33","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=472"
"0005-00000035-001","1","air_als/LG CPAP Mask.jpg","CPAP Mask Only, LG Full Face Mask and Head Strap ONLY","<b>Large CPAP mask only, sold by the each.</b>     <i>Limit one per run number.</i>","","","","","22.34","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","29","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=473"
"0005-00000004-003","1","air_als/GoCPAPmd.jpg","CPAP, Medium O2-Max fixed system Bitrec ED","Continuous Positive Airway Pressure kit, size Medium.     <i>Limit one per run number.</i>    <b>Limited to the Squads</b> <u><b>The new Pulmodyne GO-PAP comes with an included nebulizer-  a MedSource (Part MS-303) branded nebulizer  (Picture attached BadNebulizer.jpg).    This MedSource nebulizer does not work very well, or at all. The cup will not reliably stay connected to the Nebulizer Port in the GO-PAP. Effective immediately Please do not attempt to use the MedSource branded nebulizer included in the packaging with the CPAP.    The Individually packaged curaplex branded Small Volume Nebulizer (REF 301-201) issued by IEMS will work and stay in place in the GO-PAP nebulizer port as expected.     Until Further Notice: Please use the curaplex nebulizers instead of the neb provided with the CPAP.     The DISS adaptor for O2 connection and tubing works as intended and can be used to supply oxygen for the curaplex branded Small Volume Nebulizer    We have contacted the manufacturer and they are taking steps to correct this situation.    Please contact me directly with any questions    Kevin Gona</B></u>","","","","","55.83","EA","0","0","0","1","1","0","0","","2018-09-05 15:17:36","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=508"
"0005-00000004-004","1","air_als/GoCPAPmd.jpg","CPAP, Medium Mask, GO-PAP Adjustable","<b>GO-PAP plus Neb-Connect, medium.</b> Sold by the each.     <i>Limit one per run number.</i>    <b>Limited to the Squads</b>","","","","","55.83","EA","0","0","0","1","1","0","0","","2019-01-11 08:30:55","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=511"
"0005-00000009-004","1","","Endotracheal Tube w/ Stylet, 02.5 mm Un-Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:14:37","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=520"
"0005-00000010-004","1","","Endotracheal Tube w/ Stylet, 03 mm Un-Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:15:46","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=521"
"0005-00000011-004","1","","Endotracheal Tube w/ Stylet, 03.5 mm Un-Cuffed","Sold by the each, max is two.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:23:40","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=522"
"0005-00000012-004","1","","Endotracheal Tube w/ Stylet, 04 mm Un-Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:25:34","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=523"
"0005-00000013-004","1","","Endotracheal Tube w/ Stylet, 04.5 mm Un-Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:27:02","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=524"
"0005-00000014-004","1","","Endotracheal Tube w/ Stylet, 05 mm Un-Cuffed","Sold by the each, max is five. Expires October 2020.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:30:21","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=525"
"0005-00000016-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 06 mm Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:33:46","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=526"
"0005-00000017-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 06.5 mm Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:34:48","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=527"
"0005-00000018-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 07 mm Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:37:32","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=528"
"0005-00000019-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 07.5 mm Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:44:56","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=529"
"0005-00000020-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 08 mm Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:47:59","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=530"
"0005-00000021-004","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 08.5 mm Cuffed","Sold by the each, max is five.","","","","","2.26","EA","0","0","0","1","1","0","0","","2019-11-12 10:49:04","0","","Airway / ALS","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=531"
"0005-00000039-001","1","air_als/Thomas Select.jpg","Thomas Endotracheal Tube Holder, Large BLUE","Sold by the. Max 6.  Fits i-gel Sizes 4.0 and 5.0.","","","","","4.07","EA","0","0","0","1","1","0","0","","2020-01-21 08:12:20","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=533"
"0005-00000040-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 02.5 mm Cuffed","Sold by the each, max is three.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:10:37","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=557"
"0005-00000041-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 03 mm Cuffed","Sold by the each, max is three.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:12:37","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=558"
"0005-00000042-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 03.5 mm Cuffed","Sold by the each, max is three.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:15:26","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=559"
"0005-00000043-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 04 mm Cuffed","Sold by the each, max is three.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:17:24","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=560"
"0005-00000044-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 04.5 mm Cuffed","Sold by the each, max is three.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:20:25","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=561"
"0005-00000045-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 05 mm Cuffed","Sold by the each, max is three.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:22:47","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=562"
"0005-00000046-001","1","air_als/Curaplex ETT cuffed.jpg","Endotracheal Tube w/ Stylet, 05.5 mm Cuffed","Sold by the each, max is three.","","","","","2.26","EA","0","0","0","1","1","0","0","","2021-01-18 10:24:57","1","","Airway / ALS","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=1&products_id=563"
"0010-00000001-001","1","/air_scope/mac2.jpg","Blade, Laryngoscope Macintosh 2","Macintosh 2 Laryngoscope blade. <i>Sold by the each, limit 5. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","91","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=33"
"0010-00000002-001","1","/air_scope/mac3.jpg","Blade, Laryngoscope Macintosh 3","Macintosh 3 Laryngoscope blade. <i>Sold by the each, limit 5. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","31","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=34"
"0010-00000003-001","1","/air_scope/mac4.jpg","Blade, Laryngoscope Macintosh 4","Macintosh 4 Laryngoscope blade. <i>Sold by the each, limit 5. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","1","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=35"
"0010-00000004-001","1","/air_scope/mil0.jpg","Blade, Laryngoscope Miller 0","Miller 0 Laryngoscope blade. <i>Sold by the each, limit 5. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","14","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=36"
"0010-00000005-001","1","/air_scope/mil1.jpg","Blade, Laryngoscope Miller 1","Miller 1 Laryngoscope blade. <i>Sold by the each, limit 5. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","9","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=37"
"0010-00000006-001","1","/air_scope/mil2.jpg","Blade, Laryngoscope Miller 2","Miller 2 Laryngoscope blade. <i>Sold by the each, limit 5. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","8","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=38"
"0010-00000007-001","1","/air_scope/mil3.jpg","Blade, Laryngoscope Miller 3","Miller 3 Laryngoscope blade.<i>Sold by the each, limit 5. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","66","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=39"
"0010-00000008-001","1","/air_scope/mil4.jpg","Blade, Laryngoscope Miller 4","Miller 4 Laryngoscope blade. <i>Sold by the each, limit 5. </i>","","","","","6.45","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","3","","Airway / Laryngoscopy","--none--","1","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=40"
"0010-00000009-001","1","no_picture.gif","Handle, Laryngoscope Short Green-line LED"," ","","","","","187","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","0","","Airway / Laryngoscopy","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=41"
"0010-00000010-001","1","air_scope/scope.jpg","Handle, Laryngoscope Standard Green-line LED","Green-line LED Laryngoscope handle.  Limit 1. <i>Please contact you EDO - delivery subject to verification.</i>","","","","","238.9","EA","0","0","0","1","1","0","0","","2012-07-30 11:06:00","-5","","Airway / Laryngoscopy","--none--","0","0","0","0","0","0","","","","http://iemssupply.net/ifd/index.php?main_page=product_info&cPath=2&products_id=42"
